dates,Finland.JHU_ConfirmedCases.data,Finland.JHU_ConfirmedDeaths.data,Finland.JHU_ConfirmedRecoveries.data
2020-02-15,1.0,0.0,
2020-02-16,1.0,0.0,
2020-02-17,1.0,0.0,
2020-02-18,1.0,0.0,
2020-02-19,1.0,0.0,
2020-02-20,1.0,0.0,
2020-02-21,1.0,0.0,
2020-02-22,1.0,0.0,
2020-02-23,1.0,0.0,
2020-02-24,1.0,0.0,
2020-02-25,1.0,0.0,
2020-02-26,2.0,0.0,
2020-02-27,2.0,0.0,
2020-02-28,2.0,0.0,
2020-02-29,3.0,0.0,
2020-03-01,6.0,0.0,
2020-03-02,6.0,0.0,
2020-03-03,6.0,0.0,
2020-03-04,6.0,0.0,
2020-03-05,12.0,0.0,
2020-03-06,15.0,0.0,
2020-03-07,15.0,0.0,
2020-03-08,23.0,0.0,
2020-03-09,30.0,0.0,
2020-03-10,40.0,0.0,
2020-03-11,59.0,0.0,
2020-03-12,59.0,0.0,
2020-03-13,155.0,0.0,
2020-03-14,225.0,0.0,
2020-03-15,244.0,0.0,
2020-03-16,277.0,0.0,
2020-03-17,321.0,0.0,
2020-03-18,336.0,0.0,
2020-03-19,400.0,0.0,
2020-03-20,450.0,0.0,
2020-03-21,523.0,1.0,
2020-03-22,626.0,1.0,
2020-03-23,700.0,1.0,
2020-03-24,792.0,1.0,
2020-03-25,880.0,3.0,
2020-03-26,958.0,5.0,
2020-03-27,1041.0,7.0,
2020-03-28,1167.0,9.0,
2020-03-29,1240.0,11.0,
2020-03-30,1352.0,13.0,
2020-03-31,1418.0,17.0,
2020-04-01,1446.0,17.0,
2020-04-02,1518.0,19.0,
2020-04-03,1615.0,20.0,
2020-04-04,1882.0,25.0,
2020-04-05,1927.0,28.0,
2020-04-06,2176.0,27.0,
2020-04-07,2308.0,34.0,
2020-04-08,2487.0,40.0,
2020-04-09,2605.0,42.0,
2020-04-10,2769.0,48.0,
2020-04-11,2905.0,49.0,
2020-04-12,2974.0,56.0,
2020-04-13,3064.0,59.0,
2020-04-14,3161.0,64.0,
2020-04-15,3237.0,72.0,
2020-04-16,3369.0,75.0,
2020-04-17,3489.0,82.0,
2020-04-18,3681.0,90.0,
2020-04-19,3783.0,94.0,
2020-04-20,3868.0,98.0,
2020-04-21,4014.0,141.0,
2020-04-22,4129.0,149.0,
2020-04-23,4284.0,172.0,
2020-04-24,4284.0,172.0,
2020-04-25,4475.0,186.0,
2020-04-26,4576.0,190.0,
2020-04-27,4695.0,193.0,
2020-04-28,4740.0,199.0,
2020-04-29,4906.0,206.0,
2020-04-30,4995.0,211.0,
2020-05-01,5051.0,218.0,
2020-05-02,5176.0,220.0,
2020-05-03,5254.0,230.0,
2020-05-04,5327.0,240.0,
2020-05-05,5412.0,246.0,
2020-05-06,5573.0,252.0,
2020-05-07,5673.0,255.0,
2020-05-08,5738.0,260.0,
2020-05-09,5880.0,265.0,
2020-05-10,5962.0,267.0,
2020-05-11,5984.0,271.0,
2020-05-12,6003.0,275.0,
2020-05-13,6054.0,284.0,
2020-05-14,6145.0,287.0,
2020-05-15,6228.0,293.0,
2020-05-16,6286.0,297.0,
2020-05-17,6347.0,298.0,
2020-05-18,6380.0,300.0,
2020-05-19,6399.0,301.0,
2020-05-20,6443.0,304.0,
2020-05-21,6493.0,306.0,
2020-05-22,6537.0,306.0,
2020-05-23,6568.0,306.0,
2020-05-24,6579.0,307.0,
2020-05-25,6599.0,308.0,
2020-05-26,6628.0,312.0,
2020-05-27,6692.0,313.0,
2020-05-28,6743.0,313.0,
2020-05-29,6776.0,314.0,
2020-05-30,6826.0,316.0,
2020-05-31,6859.0,320.0,
2020-06-01,6885.0,318.0,
2020-06-02,6887.0,320.0,
2020-06-03,6911.0,321.0,
2020-06-04,6911.0,322.0,
2020-06-05,6941.0,322.0,
2020-06-06,6964.0,322.0,
2020-06-07,6981.0,323.0,
2020-06-08,7001.0,323.0,
2020-06-09,7025.0,324.0,
2020-06-10,7040.0,324.0,
2020-06-11,7064.0,325.0,
2020-06-12,7073.0,325.0,
2020-06-13,7087.0,325.0,
2020-06-14,7104.0,326.0,
2020-06-15,7108.0,326.0,
2020-06-16,7112.0,326.0,
2020-06-17,7117.0,326.0,
2020-06-18,7119.0,326.0,
2020-06-19,7133.0,326.0,
2020-06-20,7142.0,326.0,
2020-06-21,7143.0,326.0,
2020-06-22,7144.0,327.0,
2020-06-23,7155.0,327.0,
2020-06-24,7167.0,327.0,
2020-06-25,7172.0,327.0,
2020-06-26,7191.0,328.0,
2020-06-27,7198.0,328.0,
2020-06-28,7198.0,328.0,
2020-06-29,7209.0,328.0,
2020-06-30,7214.0,328.0,
2020-07-01,7236.0,328.0,
2020-07-02,7241.0,328.0,
2020-07-03,7242.0,329.0,
2020-07-04,7248.0,329.0,
2020-07-05,7253.0,329.0,
2020-07-06,7257.0,329.0,
2020-07-07,7262.0,329.0,
2020-07-08,7265.0,329.0,
2020-07-09,7273.0,329.0,
2020-07-10,7279.0,329.0,
2020-07-11,7291.0,329.0,
2020-07-12,7294.0,329.0,
2020-07-13,7295.0,329.0,
2020-07-14,7301.0,329.0,
2020-07-15,7296.0,328.0,
2020-07-16,7293.0,328.0,
2020-07-17,7301.0,328.0,
2020-07-18,7318.0,328.0,
2020-07-19,7335.0,328.0,
2020-07-20,7340.0,328.0,
2020-07-21,7351.0,328.0,
2020-07-22,7362.0,328.0,
2020-07-23,7372.0,328.0,
2020-07-24,7380.0,329.0,
2020-07-25,7388.0,329.0,
2020-07-26,7393.0,329.0,
2020-07-27,7398.0,329.0,
2020-07-28,7404.0,329.0,
2020-07-29,7414.0,329.0,
2020-07-30,7423.0,329.0,
2020-07-31,7432.0,329.0,
2020-08-01,7443.0,329.0,
2020-08-02,7453.0,329.0,
2020-08-03,7466.0,329.0,
2020-08-04,7483.0,331.0,
2020-08-05,7512.0,331.0,
2020-08-06,7532.0,331.0,
2020-08-07,7554.0,331.0,
2020-08-08,7568.0,331.0,
2020-08-09,7584.0,331.0,
2020-08-10,7601.0,333.0,
2020-08-11,7623.0,333.0,
2020-08-12,7642.0,333.0,
2020-08-13,7683.0,333.0,
2020-08-14,7700.0,333.0,
2020-08-15,7720.0,333.0,
2020-08-16,7731.0,333.0,
2020-08-17,7752.0,334.0,
2020-08-18,7776.0,334.0,
2020-08-19,7805.0,334.0,
2020-08-20,7842.0,334.0,
2020-08-21,7871.0,334.0,
2020-08-22,7906.0,334.0,
2020-08-23,7920.0,334.0,
2020-08-24,7938.0,335.0,
2020-08-25,7981.0,335.0,
2020-08-26,8002.0,335.0,
2020-08-27,8019.0,335.0,
2020-08-28,8042.0,335.0,
2020-08-29,8049.0,335.0,
2020-08-30,8077.0,335.0,
2020-08-31,8086.0,336.0,
2020-09-01,8142.0,336.0,
2020-09-02,8161.0,336.0,
2020-09-03,8200.0,336.0,
2020-09-04,8225.0,336.0,
2020-09-05,8261.0,336.0,
2020-09-06,8291.0,336.0,
2020-09-07,8327.0,336.0,
2020-09-08,8337.0,336.0,
2020-09-09,8430.0,337.0,
2020-09-10,8469.0,337.0,
2020-09-11,8512.0,337.0,
2020-09-12,8557.0,337.0,
2020-09-13,8580.0,337.0,
2020-09-14,8627.0,337.0,
2020-09-15,8725.0,339.0,
2020-09-16,8750.0,339.0,
2020-09-17,8799.0,339.0,
2020-09-18,8858.0,339.0,
2020-09-19,8922.0,339.0,
2020-09-20,8980.0,339.0,
2020-09-21,9046.0,341.0,
2020-09-22,9195.0,341.0,
2020-09-23,9288.0,343.0,
2020-09-24,9379.0,343.0,
2020-09-25,9484.0,343.0,
2020-09-26,9577.0,343.0,
2020-09-27,9682.0,343.0,
2020-09-28,9743.0,345.0,
2020-09-29,9892.0,345.0,
2020-09-30,9992.0,344.0,
2020-10-01,10103.0,344.0,
2020-10-02,10244.0,345.0,
2020-10-03,10391.0,345.0,
2020-10-04,10538.0,345.0,
2020-10-05,10702.0,346.0,
2020-10-06,10929.0,346.0,
2020-10-07,11049.0,346.0,
2020-10-08,11345.0,346.0,
2020-10-09,11580.0,346.0,
2020-10-10,11849.0,346.0,
2020-10-11,11998.0,346.0,
2020-10-12,12212.0,346.0,
2020-10-13,12499.0,346.0,
2020-10-14,12703.0,350.0,
