dates,Italy.JHU_ConfirmedCases.data,Italy.JHU_ConfirmedDeaths.data,Italy.JHU_ConfirmedRecoveries.data
2020-02-15,3.0,0.0,
2020-02-16,3.0,0.0,
2020-02-17,3.0,0.0,
2020-02-18,3.0,0.0,
2020-02-19,3.0,0.0,
2020-02-20,3.0,0.0,
2020-02-21,20.0,1.0,
2020-02-22,62.0,2.0,
2020-02-23,155.0,3.0,
2020-02-24,229.0,7.0,
2020-02-25,322.0,10.0,
2020-02-26,453.0,12.0,
2020-02-27,655.0,17.0,
2020-02-28,888.0,21.0,
2020-02-29,1128.0,29.0,
2020-03-01,1694.0,34.0,
2020-03-02,2036.0,52.0,
2020-03-03,2502.0,79.0,
2020-03-04,3089.0,107.0,
2020-03-05,3858.0,148.0,
2020-03-06,4636.0,197.0,
2020-03-07,5883.0,233.0,
2020-03-08,7375.0,366.0,
2020-03-09,9172.0,463.0,
2020-03-10,10149.0,631.0,
2020-03-11,12462.0,827.0,
2020-03-12,12462.0,827.0,
2020-03-13,17660.0,1266.0,
2020-03-14,21157.0,1441.0,
2020-03-15,24747.0,1809.0,
2020-03-16,27980.0,2158.0,
2020-03-17,31506.0,2503.0,
2020-03-18,35713.0,2978.0,
2020-03-19,41035.0,3405.0,
2020-03-20,47021.0,4032.0,
2020-03-21,53578.0,4825.0,
2020-03-22,59138.0,5476.0,
2020-03-23,63927.0,6077.0,
2020-03-24,69176.0,6820.0,
2020-03-25,74386.0,7503.0,
2020-03-26,80589.0,8215.0,
2020-03-27,86498.0,9134.0,
2020-03-28,92472.0,10023.0,
2020-03-29,97689.0,10779.0,
2020-03-30,101739.0,11591.0,
2020-03-31,105792.0,12428.0,
2020-04-01,110574.0,13155.0,
2020-04-02,115242.0,13915.0,
2020-04-03,119827.0,14681.0,
2020-04-04,124632.0,15362.0,
2020-04-05,128948.0,15887.0,
2020-04-06,132547.0,16523.0,
2020-04-07,135586.0,17127.0,
2020-04-08,139422.0,17669.0,
2020-04-09,143626.0,18279.0,
2020-04-10,147577.0,18849.0,
2020-04-11,152271.0,19468.0,
2020-04-12,156363.0,19899.0,
2020-04-13,159516.0,20465.0,
2020-04-14,162488.0,21067.0,
2020-04-15,165155.0,21645.0,
2020-04-16,168941.0,22170.0,
2020-04-17,172434.0,22745.0,
2020-04-18,175925.0,23227.0,
2020-04-19,178972.0,23660.0,
2020-04-20,181228.0,24114.0,
2020-04-21,183957.0,24648.0,
2020-04-22,187327.0,25085.0,
2020-04-23,189973.0,25549.0,
2020-04-24,189973.0,25549.0,
2020-04-25,195351.0,26384.0,
2020-04-26,197675.0,26644.0,
2020-04-27,199414.0,26977.0,
2020-04-28,201505.0,27359.0,
2020-04-29,203591.0,27682.0,
2020-04-30,205463.0,27967.0,
2020-05-01,207428.0,28236.0,
2020-05-02,209328.0,28710.0,
2020-05-03,210717.0,28884.0,
2020-05-04,211938.0,29079.0,
2020-05-05,213013.0,29315.0,
2020-05-06,214457.0,29684.0,
2020-05-07,215858.0,29958.0,
2020-05-08,217185.0,30201.0,
2020-05-09,218268.0,30395.0,
2020-05-10,219070.0,30560.0,
2020-05-11,219814.0,30739.0,
2020-05-12,221216.0,30911.0,
2020-05-13,222104.0,31106.0,
2020-05-14,223096.0,31368.0,
2020-05-15,223885.0,31610.0,
2020-05-16,224760.0,31763.0,
2020-05-17,225435.0,31908.0,
2020-05-18,225886.0,32007.0,
2020-05-19,226699.0,32169.0,
2020-05-20,227364.0,32330.0,
2020-05-21,228006.0,32486.0,
2020-05-22,228658.0,32616.0,
2020-05-23,229327.0,32735.0,
2020-05-24,229858.0,32785.0,
2020-05-25,230158.0,32877.0,
2020-05-26,230555.0,32955.0,
2020-05-27,231139.0,33072.0,
2020-05-28,231732.0,33142.0,
2020-05-29,232248.0,33229.0,
2020-05-30,232664.0,33340.0,
2020-05-31,232997.0,33415.0,
2020-06-01,233197.0,33475.0,
2020-06-02,233515.0,33530.0,
2020-06-03,233836.0,33601.0,
2020-06-04,234013.0,33689.0,
2020-06-05,234531.0,33774.0,
2020-06-06,234801.0,33846.0,
2020-06-07,234998.0,33899.0,
2020-06-08,235278.0,33964.0,
2020-06-09,235561.0,34043.0,
2020-06-10,235763.0,34114.0,
2020-06-11,236142.0,34167.0,
2020-06-12,236305.0,34223.0,
2020-06-13,236651.0,34301.0,
2020-06-14,236989.0,34345.0,
2020-06-15,237290.0,34371.0,
2020-06-16,237500.0,34405.0,
2020-06-17,237828.0,34448.0,
2020-06-18,238159.0,34514.0,
2020-06-19,238011.0,34561.0,
2020-06-20,238275.0,34610.0,
2020-06-21,238499.0,34634.0,
2020-06-22,238720.0,34657.0,
2020-06-23,238833.0,34675.0,
2020-06-24,239410.0,34644.0,
2020-06-25,239706.0,34678.0,
2020-06-26,239961.0,34708.0,
2020-06-27,240136.0,34716.0,
2020-06-28,240310.0,34738.0,
2020-06-29,240436.0,34744.0,
2020-06-30,240578.0,34767.0,
2020-07-01,240759.0,34792.0,
2020-07-02,240961.0,34818.0,
2020-07-03,241184.0,34833.0,
2020-07-04,241419.0,34854.0,
2020-07-05,241611.0,34861.0,
2020-07-06,241819.0,34869.0,
2020-07-07,241956.0,34899.0,
2020-07-08,242149.0,34914.0,
2020-07-09,242363.0,34926.0,
2020-07-10,242639.0,34938.0,
2020-07-11,242827.0,34945.0,
2020-07-12,243061.0,34954.0,
2020-07-13,243230.0,34967.0,
2020-07-14,243344.0,34984.0,
2020-07-15,243506.0,34997.0,
2020-07-16,243736.0,35017.0,
2020-07-17,243967.0,35028.0,
2020-07-18,244216.0,35042.0,
2020-07-19,244434.0,35045.0,
2020-07-20,244624.0,35058.0,
2020-07-21,244752.0,35073.0,
2020-07-22,245032.0,35082.0,
2020-07-23,245338.0,35092.0,
2020-07-24,245590.0,35097.0,
2020-07-25,245864.0,35102.0,
2020-07-26,246118.0,35107.0,
2020-07-27,246286.0,35112.0,
2020-07-28,246488.0,35123.0,
2020-07-29,246776.0,35129.0,
2020-07-30,247158.0,35132.0,
2020-07-31,247537.0,35141.0,
2020-08-01,247832.0,35146.0,
2020-08-02,248070.0,35154.0,
2020-08-03,248229.0,35166.0,
2020-08-04,248419.0,35171.0,
2020-08-05,248803.0,35181.0,
2020-08-06,249204.0,35187.0,
2020-08-07,249756.0,35190.0,
2020-08-08,250103.0,35203.0,
2020-08-09,250566.0,35205.0,
2020-08-10,250825.0,35209.0,
2020-08-11,251237.0,35215.0,
2020-08-12,251713.0,35225.0,
2020-08-13,252235.0,35231.0,
2020-08-14,252809.0,35234.0,
2020-08-15,253438.0,35392.0,
2020-08-16,253915.0,35396.0,
2020-08-17,254235.0,35400.0,
2020-08-18,254636.0,35405.0,
2020-08-19,255278.0,35412.0,
2020-08-20,256118.0,35418.0,
2020-08-21,257065.0,35427.0,
2020-08-22,258136.0,35430.0,
2020-08-23,259345.0,35437.0,
2020-08-24,260298.0,35441.0,
2020-08-25,261174.0,35445.0,
2020-08-26,262540.0,35458.0,
2020-08-27,263949.0,35463.0,
2020-08-28,265409.0,35472.0,
2020-08-29,266853.0,35473.0,
2020-08-30,268218.0,35477.0,
2020-08-31,269214.0,35483.0,
2020-09-01,270189.0,35491.0,
2020-09-02,271515.0,35497.0,
2020-09-03,272912.0,35507.0,
2020-09-04,274644.0,35518.0,
2020-09-05,276338.0,35534.0,
2020-09-06,277634.0,35541.0,
2020-09-07,278784.0,35553.0,
2020-09-08,280153.0,35563.0,
2020-09-09,281583.0,35577.0,
2020-09-10,283180.0,35587.0,
2020-09-11,284796.0,35597.0,
2020-09-12,286297.0,35603.0,
2020-09-13,287753.0,35610.0,
2020-09-14,288761.0,35624.0,
2020-09-15,289990.0,35633.0,
2020-09-16,291442.0,35645.0,
2020-09-17,293025.0,35658.0,
2020-09-18,294932.0,35668.0,
2020-09-19,296569.0,35692.0,
2020-09-20,298156.0,35707.0,
2020-09-21,299506.0,35724.0,
2020-09-22,300897.0,35738.0,
2020-09-23,302537.0,35758.0,
2020-09-24,304323.0,35781.0,
2020-09-25,306235.0,35801.0,
2020-09-26,308104.0,35818.0,
2020-09-27,309870.0,35835.0,
2020-09-28,311364.0,35851.0,
2020-09-29,313011.0,35875.0,
2020-09-30,314861.0,35894.0,
2020-10-01,317409.0,35918.0,
2020-10-02,319908.0,35941.0,
2020-10-03,322751.0,35968.0,
2020-10-04,325329.0,35986.0,
2020-10-05,327586.0,36002.0,
2020-10-06,330263.0,36030.0,
2020-10-07,333940.0,36061.0,
2020-10-08,338398.0,36083.0,
2020-10-09,343770.0,36111.0,
2020-10-10,349494.0,36140.0,
2020-10-11,354950.0,36166.0,
2020-10-12,359569.0,36205.0,
2020-10-13,365467.0,36246.0,
2020-10-14,372799.0,36289.0,
