dates,Netherlands.JHU_ConfirmedCases.data,Netherlands.JHU_ConfirmedDeaths.data,Netherlands.JHU_ConfirmedRecoveries.data
2020-02-15,0.0,0.0,
2020-02-16,0.0,0.0,
2020-02-17,0.0,0.0,
2020-02-18,0.0,0.0,
2020-02-19,0.0,0.0,
2020-02-20,0.0,0.0,
2020-02-21,0.0,0.0,
2020-02-22,0.0,0.0,
2020-02-23,0.0,0.0,
2020-02-24,0.0,0.0,
2020-02-25,0.0,0.0,
2020-02-26,0.0,0.0,
2020-02-27,1.0,0.0,
2020-02-28,1.0,0.0,
2020-02-29,6.0,0.0,
2020-03-01,10.0,0.0,
2020-03-02,18.0,0.0,
2020-03-03,24.0,0.0,
2020-03-04,38.0,0.0,
2020-03-05,82.0,0.0,
2020-03-06,128.0,1.0,
2020-03-07,188.0,1.0,
2020-03-08,265.0,3.0,
2020-03-09,321.0,3.0,
2020-03-10,382.0,4.0,
2020-03-11,503.0,5.0,
2020-03-12,503.0,5.0,
2020-03-13,806.0,10.0,
2020-03-14,962.0,12.0,
2020-03-15,1138.0,20.0,
2020-03-16,1416.0,24.0,
2020-03-17,1711.0,43.0,
2020-03-18,2058.0,58.0,
2020-03-19,2467.0,77.0,
2020-03-20,3003.0,107.0,
2020-03-21,3640.0,137.0,
2020-03-22,4217.0,180.0,
2020-03-23,4764.0,214.0,
2020-03-24,5580.0,277.0,
2020-03-25,6438.0,357.0,
2020-03-26,7468.0,435.0,
2020-03-27,8647.0,547.0,
2020-03-28,9819.0,640.0,
2020-03-29,10930.0,772.0,
2020-03-30,11817.0,865.0,
2020-03-31,12667.0,1040.0,
2020-04-01,13696.0,1175.0,
2020-04-02,14788.0,1341.0,
2020-04-03,15821.0,1490.0,
2020-04-04,16727.0,1656.0,
2020-04-05,17953.0,1771.0,
2020-04-06,18926.0,1874.0,
2020-04-07,19709.0,2108.0,
2020-04-08,20682.0,2255.0,
2020-04-09,21903.0,2403.0,
2020-04-10,23249.0,2520.0,
2020-04-11,24571.0,2653.0,
2020-04-12,25746.0,2747.0,
2020-04-13,26710.0,2833.0,
2020-04-14,27580.0,2955.0,
2020-04-15,28316.0,3145.0,
2020-04-16,29383.0,3327.0,
2020-04-17,30619.0,3471.0,
2020-04-18,31766.0,3613.0,
2020-04-19,32838.0,3697.0,
2020-04-20,33588.0,3764.0,
2020-04-21,34317.0,3929.0,
2020-04-22,35032.0,4068.0,
2020-04-23,35921.0,4192.0,
2020-04-24,35921.0,4192.0,
2020-04-25,37384.0,4424.0,
2020-04-26,38040.0,4491.0,
2020-04-27,38440.0,4534.0,
2020-04-28,38612.0,4582.0,
2020-04-29,38998.0,4727.0,
2020-04-30,39512.0,4811.0,
2020-05-01,39989.0,4909.0,
2020-05-02,40434.0,5003.0,
2020-05-03,40769.0,5072.0,
2020-05-04,40968.0,5098.0,
2020-05-05,41286.0,5185.0,
2020-05-06,41518.0,5221.0,
2020-05-07,41973.0,5306.0,
2020-05-08,42292.0,5377.0,
2020-05-09,42581.0,5441.0,
2020-05-10,42826.0,5459.0,
2020-05-11,42987.0,5475.0,
2020-05-12,43183.0,5529.0,
2020-05-13,43410.0,5581.0,
2020-05-14,43680.0,5609.0,
2020-05-15,43880.0,5662.0,
2020-05-16,44070.0,5689.0,
2020-05-17,44195.0,5699.0,
2020-05-18,44341.0,5713.0,
2020-05-19,44449.0,5734.0,
2020-05-20,44647.0,5767.0,
2020-05-21,44900.0,5794.0,
2020-05-22,45088.0,5807.0,
2020-05-23,45265.0,5830.0,
2020-05-24,45437.0,5841.0,
2020-05-25,45647.0,5849.0,
2020-05-26,45780.0,5875.0,
2020-05-27,45970.0,5890.0,
2020-05-28,46152.0,5922.0,
2020-05-29,46328.0,5950.0,
2020-05-30,46460.0,5970.0,
2020-05-31,46645.0,5975.0,
2020-06-01,46749.0,5981.0,
2020-06-02,46852.0,5986.0,
2020-06-03,46939.0,5996.0,
2020-06-04,47148.0,6009.0,
2020-06-05,47358.0,6024.0,
2020-06-06,47541.0,6030.0,
2020-06-07,47780.0,6032.0,
2020-06-08,47945.0,6035.0,
2020-06-09,48109.0,6050.0,
2020-06-10,48294.0,6061.0,
2020-06-11,48458.0,6063.0,
2020-06-12,48668.0,6072.0,
2020-06-13,48847.0,6076.0,
2020-06-14,48990.0,6078.0,
2020-06-15,49155.0,6084.0,
2020-06-16,49295.0,6089.0,
2020-06-17,49412.0,6093.0,
2020-06-18,49527.0,6097.0,
2020-06-19,49634.0,6100.0,
2020-06-20,49710.0,6108.0,
2020-06-21,49801.0,6109.0,
2020-06-22,49866.0,6109.0,
2020-06-23,49930.0,6114.0,
2020-06-24,50012.0,6116.0,
2020-06-25,50122.0,6119.0,
2020-06-26,50213.0,6122.0,
2020-06-27,50282.0,6124.0,
2020-06-28,50355.0,6124.0,
2020-06-29,50510.0,6141.0,
2020-06-30,50560.0,6147.0,
2020-07-01,50560.0,6147.0,
2020-07-02,50546.0,6132.0,
2020-07-03,50546.0,6132.0,
2020-07-04,50548.0,6132.0,
2020-07-05,50834.0,6146.0,
2020-07-06,50870.0,6147.0,
2020-07-07,50907.0,6151.0,
2020-07-08,50959.0,6154.0,
2020-07-09,51013.0,6156.0,
2020-07-10,51055.0,6155.0,
2020-07-11,51136.0,6156.0,
2020-07-12,51237.0,6156.0,
2020-07-13,51308.0,6156.0,
2020-07-14,51362.0,6154.0,
2020-07-15,51471.0,6155.0,
2020-07-16,51572.0,6156.0,
2020-07-17,103136.0,12295.0,
2020-07-18,51809.0,6155.0,
2020-07-19,51955.0,6155.0,
2020-07-20,52142.0,6155.0,
2020-07-21,52307.0,6155.0,
2020-07-22,52475.0,6158.0,
2020-07-23,52640.0,6158.0,
2020-07-24,52837.0,6158.0,
2020-07-25,52984.0,6159.0,
2020-07-26,53005.0,6159.0,
2020-07-27,53424.0,6160.0,
2020-07-28,53647.0,6164.0,
2020-07-29,53895.0,6166.0,
2020-07-30,54249.0,6166.0,
2020-07-31,54590.0,6166.0,
2020-08-01,55021.0,6167.0,
2020-08-02,55408.0,6169.0,
2020-08-03,55786.0,6169.0,
2020-08-04,56279.0,6170.0,
2020-08-05,56750.0,6173.0,
2020-08-06,57465.0,6173.0,
2020-08-07,58117.0,6174.0,
2020-08-08,58717.0,6178.0,
2020-08-09,59360.0,6178.0,
2020-08-10,60058.0,6178.0,
2020-08-11,60940.0,6180.0,
2020-08-12,61718.0,6182.0,
2020-08-13,62406.0,6187.0,
2020-08-14,63127.0,6189.0,
2020-08-15,63889.0,6191.0,
2020-08-16,64468.0,6194.0,
2020-08-17,64980.0,6194.0,
2020-08-18,65560.0,6197.0,
2020-08-19,66218.0,6204.0,
2020-08-20,66843.0,6215.0,
2020-08-21,67456.0,6219.0,
2020-08-22,68051.0,6225.0,
2020-08-23,68570.0,6225.0,
2020-08-24,69224.0,6227.0,
2020-08-25,69683.0,6233.0,
2020-08-26,70382.0,6241.0,
2020-08-27,70984.0,6244.0,
2020-08-28,71557.0,6247.0,
2020-08-29,72128.0,6252.0,
2020-08-30,72679.0,6252.0,
2020-08-31,73232.0,6252.0,
2020-09-01,73802.0,6260.0,
2020-09-02,74660.0,6267.0,
2020-09-03,75356.0,6268.0,
2020-09-04,76173.0,6270.0,
2020-09-05,76907.0,6275.0,
2020-09-06,77857.0,6277.0,
2020-09-07,78702.0,6278.0,
2020-09-08,79792.0,6279.0,
2020-09-09,81085.0,6281.0,
2020-09-10,82016.0,6285.0,
2020-09-11,83370.0,6290.0,
2020-09-12,84709.0,6291.0,
2020-09-13,85876.0,6292.0,
2020-09-14,87194.0,6296.0,
2020-09-15,88673.0,6300.0,
2020-09-16,90425.0,6303.0,
2020-09-17,92262.0,6310.0,
2020-09-18,94345.0,6318.0,
2020-09-19,96261.0,6320.0,
2020-09-20,98217.0,6324.0,
2020-09-21,100491.0,6327.0,
2020-09-22,102844.0,6338.0,
2020-09-23,105304.0,6344.0,
2020-09-24,107899.0,6361.0,
2020-09-25,110758.0,6377.0,
2020-09-26,113518.0,6415.0,
2020-09-27,113564.0,6415.0,
2020-09-28,115640.0,6415.0,
2020-09-29,122620.0,6443.0,
2020-09-30,125988.0,6457.0,
2020-10-01,129283.0,6470.0,
2020-10-02,133166.0,6482.0,
2020-10-03,137194.0,6503.0,
2020-10-04,141226.0,6508.0,
2020-10-05,141258.0,6509.0,
2020-10-06,150413.0,6538.0,
2020-10-07,155465.0,6574.0,
2020-10-08,161332.0,6587.0,
2020-10-09,167348.0,6601.0,
2020-10-10,173894.0,6624.0,
2020-10-11,180288.0,6642.0,
2020-10-12,187138.0,6654.0,
2020-10-13,194591.0,6689.0,
2020-10-14,201942.0,6720.0,
